%fichier profil: NACA23015

35	18

0.00	0.00
0.43	2.05
1.25	3.66
1.76	4.22
2.50	4.88
3.74	5.74
5.00	6.48
6.25	7.07
7.50	7.60
8.52	7.97
10.00	8.42
12.49	8.97
15.00	9.41
17.50	9.67
20.00	9.87
22.50	9.99
25.00	10.07
27.03	10.08
30.00	10.05
35.00	9.85
40.00	9.55
45.00	9.12
50.00	8.62
55.00	8.02
60.00	7.37
65.00	6.63
70.00	5.86
75.00	5.03
80.00	4.16
85.47	3.15
90.00	2.28
92.50	1.77
95.00	1.25
97.50	0.72
100.00	0.18

0.00	0.00
1.25	-1.86
2.50	-2.69
5.00	-3.63
7.50	-4.31
10.00	-4.87
15.00	-5.73
20.00	-6.36
25.00	-6.77
30.00	-6.96
40.00	-6.88
50.00	-6.38
60.00	-5.57
70.00	-4.52
80.00	-3.26
90.00	-1.83
95.00	-1.03
100.00	-0.18
