P000
 0.00000    0.00000
 0.00067    0.00418
 0.00197    0.00880
 0.00393    0.01399
 0.00659    0.01990
 0.01018    0.02669
 0.01510    0.03442
 0.02000    0.04075
 0.02183    0.04311
 0.03087    0.05263
 0.04265    0.06265
 0.05730    0.07261
 0.07468    0.08182
 0.09450    0.08971
 0.11647    0.09593
 0.14000    0.10024
 0.14039    0.10031
 0.16624    0.10277
 0.19421    0.10342
 0.22451    0.10252
 0.25711    0.10052
 0.29094    0.09791
 0.32516    0.09476
 0.35958    0.09111
 0.39412    0.08703
 0.42881    0.08249
 0.46379    0.07761
 0.49897    0.07247
 0.53414    0.06723
 0.56943    0.06194
 0.60480    0.05673
 0.64025    0.05161
 0.67574    0.04655
 0.71128    0.04154
 0.74686    0.03654
 0.75000    0.03609
 0.78211    0.03158
 0.80000    0.02906
 0.81762    0.02658
 0.85326    0.02153
 0.88874    0.01648
 0.92371    0.01145
 0.95680    0.00664
 0.98509    0.00249
 1.00000    0.00029
 0.00000    0.00000
 0.00002   -0.00388
 0.00107   -0.00781
 0.00330   -0.01167
 0.00670   -0.01528
 0.01132   -0.01857
 0.01730   -0.02159
 0.02000   -0.02263
 0.02498   -0.02453
 0.03510   -0.02771
 0.04890   -0.03167
 0.06000   -0.03474
 0.06807   -0.03698
 0.08000   -0.04003
 0.09351   -0.04348
 0.12369   -0.05085
 0.14000   -0.05456
 0.15620   -0.05825
 0.18954   -0.06540
 0.22247   -0.07197
 0.25482   -0.07756
 0.28698   -0.08213
 0.31899   -0.08571
 0.35049   -0.08824
 0.38124   -0.08948
 0.41145   -0.08924
 0.44192   -0.08736
 0.47349   -0.08408
 0.50621   -0.07969
 0.54001   -0.07449
 0.57460   -0.06879
 0.60955   -0.06288
 0.64453   -0.05708
 0.67938   -0.05143
 0.71000   -0.04661
 0.71451   -0.04590
 0.74980   -0.04043
 0.75000   -0.04040
 0.78495   -0.03487
 0.82003   -0.02908
 0.85505   -0.02325
 0.88999   -0.01764
 0.92465   -0.01225
 0.95730   -0.00717
 0.98519   -0.00271
 1.00000   -0.00029
 1.00000   -0.00029
